월,주,일,판매처,채널,품번,브랜드명,위탁사입수출,제조사명,판매처2,성별,추가분류,년도,시즌,입력일,품명,사입명,사입가,TAG가,판매가,원가,할인,생산(물류),재고(물류),재고(기타창고가용),판매금액(원장),판매수량(원장),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,바디홀릭(네이버페이),네이버페이,BH00005,바디홀릭,위탁,아이큐어,바디홀릭,,,2017,9.기타,20180112,바디홀릭 화이트포션,,0,9900,8900,1363,10,101179,35245,22,118936,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,바디홀릭(위메프),위메프,BH00005,바디홀릭,위탁,아이큐어,바디홀릭,,,2017,9.기타,20180112,바디홀릭 화이트포션,,0,9900,8900,1363,10,101179,35245,22,168865,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,"미팩토리,바디홀릭(스토어팜)",스토어팜,BH00005,바디홀릭,위탁,아이큐어,바디홀릭,,,2017,9.기타,20180112,바디홀릭 화이트포션,,0,9900,8900,1363,10,101179,35245,22,71200,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,바디홀릭(cj몰),cj몰,BH00005,바디홀릭,위탁,아이큐어,바디홀릭,,,2017,9.기타,20180112,바디홀릭 화이트포션,,0,9900,8900,1363,10,101179,35245,22,19800,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,바디홀릭(스타일쉐어),스타일쉐어,BH00005,바디홀릭,위탁,아이큐어,바디홀릭,,,2017,9.기타,20180112,바디홀릭 화이트포션,,0,9900,8900,1363,10,101179,35245,22,21666,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,바디홀릭(아이비엘),아이비엘,BH00005,바디홀릭,위탁,아이큐어,바디홀릭,,,2017,9.기타,20180112,바디홀릭 화이트포션,,0,9900,8900,1363,10,101179,35245,22,7920,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,바디홀릭(티몬),티몬,BH00005,바디홀릭,위탁,아이큐어,바디홀릭,,,2017,9.기타,20180112,바디홀릭 화이트포션,,0,9900,8900,1363,10,101179,35245,22,82566,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,바디홀릭(톡스토어),톡스토어,BH00006,바디홀릭,위탁,안나홀즈,바디홀릭,,,2017,9.기타,20180112,클린 핸드크림 옐로우,,0,5900,5500,463,7,-800,83284,49,4812,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,바디홀릭(티몬),티몬,BH00006,바디홀릭,위탁,안나홀즈,바디홀릭,,,2017,9.기타,20180112,클린 핸드크림 옐로우,,0,5900,5500,463,7,-800,83284,49,17700,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,바디홀릭(톡스토어),톡스토어,BH00007,바디홀릭,위탁,안나홀즈,바디홀릭,,,2017,9.기타,20180112,클린 핸드크림 스카이,,0,5900,5500,456,7,-850,101129,98,4812,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,바디홀릭(스타일쉐어),스타일쉐어,BH00007,바디홀릭,위탁,안나홀즈,바디홀릭,,,2017,9.기타,20180112,클린 핸드크림 스카이,,0,5900,5500,456,7,-850,101129,98,6034,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,바디홀릭(자사몰),자사몰,BH00007,바디홀릭,위탁,안나홀즈,바디홀릭,,,2017,9.기타,20180112,클린 핸드크림 스카이,,0,5900,5500,456,7,-850,101129,98,55000,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,바디홀릭(자사몰),자사몰,BH00008,바디홀릭,위탁,안나홀즈,바디홀릭,,,2017,9.기타,20180112,클린 핸드크림 화이트,,0,5900,5500,462,7,-850,70023,108,5277,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,바디홀릭(티몬),티몬,BH00008,바디홀릭,위탁,안나홀즈,바디홀릭,,,2017,9.기타,20180112,클린 핸드크림 화이트,,0,5900,5500,462,7,-850,70023,108,17700,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04,2018/17,20180424,바디홀릭(톡스토어),톡스토어,BH00008,바디홀릭,위탁,안나홀즈,바디홀릭,,,2017,9.기타,20180112,클린 핸드크림 화이트,,0,5900,5500,462,7,-850,70023,108,5958,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
